ref_date,geo,noc_code,noc_desc,job_char,total_vacancies,sentiment_score,predicted_total_vacancies
2019-01-01,Ontario,7,"Trades, transport and equipment operators and related occupations",Full-time,26690.0,1.826354,
2019-01-01,Ontario,7,"Trades, transport and equipment operators and related occupations",Part-time,3695.0,1.826354,
2019-01-01,Ontario,7,"Trades, transport and equipment operators and related occupations","Type of work, all types",30385.0,1.826354,
2019-01-01,Ontario,8,"Natural resources, agriculture and related production occupations",Full-time,7365.0,1.826354,
2019-01-01,Ontario,8,"Natural resources, agriculture and related production occupations",Part-time,630.0,1.826354,
2019-01-01,Ontario,8,"Natural resources, agriculture and related production occupations","Type of work, all types",7990.0,1.826354,
2019-01-01,Ontario,9,Occupations in manufacturing and utilities,Full-time,10625.0,1.826354,
2019-01-01,Ontario,9,Occupations in manufacturing and utilities,Part-time,595.0,1.826354,
2019-01-01,Ontario,9,Occupations in manufacturing and utilities,"Type of work, all types",11220.0,1.826354,
2019-01-01,Ontario,101,"Total, all occupations",Full-time,137685.0,1.826354,
2019-01-01,Ontario,101,"Total, all occupations",Part-time,56420.0,1.826354,
2019-01-01,Ontario,101,"Total, all occupations","Type of work, all types",194110.0,1.826354,
2019-01-01,Prince Edward Island,1,"Business, finance and administration occupations",Full-time,150.0,1.826354,
2019-01-01,Prince Edward Island,1,"Business, finance and administration occupations","Type of work, all types",170.0,1.826354,
2019-01-01,Prince Edward Island,4,"Occupations in education, law and social, community and government services",Full-time,40.0,1.826354,
2019-01-01,Prince Edward Island,4,"Occupations in education, law and social, community and government services",Part-time,85.0,1.826354,
2019-01-01,Prince Edward Island,4,"Occupations in education, law and social, community and government services","Type of work, all types",125.0,1.826354,
2019-01-01,Prince Edward Island,6,Sales and service occupations,"Type of work, all types",665.0,1.826354,
2019-01-01,Prince Edward Island,7,"Trades, transport and equipment operators and related occupations",Full-time,170.0,1.826354,
2019-01-01,Prince Edward Island,7,"Trades, transport and equipment operators and related occupations","Type of work, all types",190.0,1.826354,
2019-01-01,Prince Edward Island,9,Occupations in manufacturing and utilities,Full-time,155.0,1.826354,
2019-01-01,Prince Edward Island,9,Occupations in manufacturing and utilities,"Type of work, all types",155.0,1.826354,
2019-01-01,Prince Edward Island,101,"Total, all occupations",Full-time,1200.0,1.826354,
2019-01-01,Prince Edward Island,101,"Total, all occupations",Part-time,420.0,1.826354,
2019-01-01,Prince Edward Island,101,"Total, all occupations","Type of work, all types",1625.0,1.826354,
2019-01-01,Quebec,1,"Business, finance and administration occupations",Full-time,13270.0,1.826354,
2019-01-01,Quebec,1,"Business, finance and administration occupations",Part-time,1525.0,1.826354,
2019-01-01,Quebec,1,"Business, finance and administration occupations","Type of work, all types",14795.0,1.826354,
2019-01-01,Quebec,2,Natural and applied sciences and related occupations,Full-time,13540.0,1.826354,
2019-01-01,Quebec,2,Natural and applied sciences and related occupations,Part-time,335.0,1.826354,
2019-01-01,Quebec,2,Natural and applied sciences and related occupations,"Type of work, all types",13875.0,1.826354,
2019-01-01,Quebec,3,Health occupations,Full-time,5355.0,1.826354,
2019-01-01,Quebec,3,Health occupations,Part-time,6145.0,1.826354,
2019-01-01,Quebec,3,Health occupations,"Type of work, all types",11500.0,1.826354,
2019-01-01,Quebec,4,"Occupations in education, law and social, community and government services",Full-time,4040.0,1.826354,
2019-01-01,Quebec,4,"Occupations in education, law and social, community and government services",Part-time,1975.0,1.826354,
2019-01-01,Quebec,4,"Occupations in education, law and social, community and government services","Type of work, all types",6020.0,1.826354,
2019-01-01,Quebec,5,"Occupations in art, culture, recreation and sport",Full-time,3180.0,1.826354,
2019-01-01,Quebec,5,"Occupations in art, culture, recreation and sport",Part-time,805.0,1.826354,
2019-01-01,Quebec,5,"Occupations in art, culture, recreation and sport","Type of work, all types",3990.0,1.826354,
2019-01-01,Quebec,6,Sales and service occupations,Full-time,20485.0,1.826354,
2019-01-01,Quebec,6,Sales and service occupations,Part-time,12495.0,1.826354,
2019-01-01,Quebec,6,Sales and service occupations,"Type of work, all types",32975.0,1.826354,
2019-01-01,Quebec,7,"Trades, transport and equipment operators and related occupations",Full-time,17470.0,1.826354,
2019-01-01,Quebec,7,"Trades, transport and equipment operators and related occupations",Part-time,1660.0,1.826354,
2019-01-01,Quebec,7,"Trades, transport and equipment operators and related occupations","Type of work, all types",19130.0,1.826354,
2019-01-01,Quebec,8,"Natural resources, agriculture and related production occupations",Full-time,2160.0,1.826354,
2019-01-01,Quebec,8,"Natural resources, agriculture and related production occupations",Part-time,330.0,1.826354,
2019-01-01,Quebec,8,"Natural resources, agriculture and related production occupations","Type of work, all types",2485.0,1.826354,
2019-01-01,Quebec,9,Occupations in manufacturing and utilities,Full-time,9255.0,1.826354,
2019-01-01,Quebec,9,Occupations in manufacturing and utilities,Part-time,235.0,1.826354,
2019-01-01,Quebec,9,Occupations in manufacturing and utilities,"Type of work, all types",9490.0,1.826354,
2019-01-01,Quebec,101,"Total, all occupations",Full-time,89260.0,1.826354,
2019-01-01,Quebec,101,"Total, all occupations",Part-time,25865.0,1.826354,
2019-01-01,Quebec,101,"Total, all occupations","Type of work, all types",115125.0,1.826354,
2019-01-01,Saskatchewan,1,"Business, finance and administration occupations",Full-time,995.0,1.826354,
2019-01-01,Saskatchewan,1,"Business, finance and administration occupations",Part-time,155.0,1.826354,
